"","Achievement","Deference","Order","Exhibition","Autonomy","Affiliation","Intraception","Succorance","Dominance","Abasement","Nurturance","Change","Endurance","Heterosexuality","Aggression"
"Achievement",1,0.102912601730454,0.257023123994694,-0.0694837129866201,-0.0782182433860118,-0.165579737845713,-0.0501586743069007,-0.295182597390192,0.15153128563059,-0.155350268732233,-0.192348217686573,-0.086244344843251,0.292719550916631,-0.269181391161135,-0.287624765097946
"Deference",0.102912601730454,1,0.294961102046391,-0.0887043816626283,-0.170066132017449,-0.121255947557857,0.00935240528255345,-0.146155368610439,-0.104196979646063,-0.0583699387622135,-0.140730530826668,-0.143487415937105,0.11427082057034,-0.136142734103899,-0.272200929583579
"Order",0.257023123994694,0.294961102046391,1,-0.184151502432415,-0.284968032306963,-0.245815140585359,-0.0400114012067305,-0.233800431841392,-0.117618015903992,0.011020525210771,-0.115921587175895,-0.145567639955001,0.404210686983271,-0.296537685131159,-0.374177159254927
"Exhibition",-0.0694837129866201,-0.0887043816626283,-0.184151502432415,1,0.111283930135444,-0.0859109230796162,-0.125633744713845,-0.0160537762150956,0.0698884694547937,-0.192142696606568,-0.191580428289207,-0.0135516019057047,-0.188795311047501,0.0427615964277222,0.102230415269252
"Autonomy",-0.0782182433860118,-0.170066132017449,-0.284968032306963,0.111283930135444,1,-0.121308710651909,-0.109566436358902,-0.0519740587201468,0.0261250452451456,-0.130483809611834,-0.256455367076761,-0.0664749022256768,-0.262758243624019,0.21688626184725,0.294102043654921
"Affiliation",-0.165579737845713,-0.121255947557857,-0.245815140585359,-0.0859109230796162,-0.121308710651909,1,-0.0494281892268299,0.0982768112892731,-0.163532149202359,-0.0643291212322914,0.303364819924934,0.106895900261227,-0.221838735803797,-0.0324844319009873,-0.17850286107527
"Intraception",-0.0501586743069007,0.00935240528255345,-0.0400114012067305,-0.125633744713845,-0.109566436358902,-0.0494281892268299,1,-0.146794774282458,0.0401850093225994,0.00577601171032724,-0.0411563083295299,-0.0404421522891137,-0.0275538549940264,-0.207716872295354,-0.125482821495593
"Succorance",-0.295182597390192,-0.146155368610439,-0.233800431841392,-0.0160537762150956,-0.0519740587201468,0.0982768112892731,-0.146794774282458,1,-0.273507693251311,0.032574383886568,0.130790739934554,-0.167639893385304,-0.367372121995797,0.15408744176311,0.120139793384196
"Dominance",0.15153128563059,-0.104196979646063,-0.117618015903992,0.0698884694547937,0.0261250452451456,-0.163532149202359,0.0401850093225994,-0.273507693251311,1,-0.308666709149534,-0.29836005714653,-0.0373123230281423,-0.0131118564485899,-0.0364649380330114,0.0553157793427424
"Abasement",-0.155350268732233,-0.0583699387622135,0.011020525210771,-0.192142696606568,-0.130483809611834,-0.0643291212322914,0.00577601171032724,0.032574383886568,-0.308666709149534,1,0.223079020423042,-0.136569740537737,0.0732296920322933,-0.209943447190626,-0.0851351648636819
"Nurturance",-0.192348217686573,-0.140730530826668,-0.115921587175895,-0.191580428289207,-0.256455367076761,0.303364819924934,-0.0411563083295299,0.130790739934554,-0.29836005714653,0.223079020423042,1,0.0272592366291619,-0.0349372645789086,-0.230819568371528,-0.232006527377343
"Change",-0.086244344843251,-0.143487415937105,-0.145567639955001,-0.0135516019057047,-0.0664749022256768,0.106895900261227,-0.0404421522891137,-0.167639893385304,-0.0373123230281423,-0.136569740537737,0.0272592366291619,1,-0.0316987705843447,-0.0960165626701806,-0.139287133589343
"Endurance",0.292719550916631,0.11427082057034,0.404210686983271,-0.188795311047501,-0.262758243624019,-0.221838735803797,-0.0275538549940264,-0.367372121995797,-0.0131118564485899,0.0732296920322933,-0.0349372645789086,-0.0316987705843447,1,-0.406272975784382,-0.348612468249313
"Heterosexuality",-0.269181391161135,-0.136142734103899,-0.296537685131159,0.0427615964277222,0.21688626184725,-0.0324844319009873,-0.207716872295354,0.15408744176311,-0.0364649380330114,-0.209943447190626,-0.230819568371528,-0.0960165626701806,-0.406272975784382,1,0.348345951952123
"Aggression",-0.287624765097946,-0.272200929583579,-0.374177159254927,0.102230415269252,0.294102043654921,-0.17850286107527,-0.125482821495593,0.120139793384196,0.0553157793427424,-0.0851351648636819,-0.232006527377343,-0.139287133589343,-0.348612468249313,0.348345951952123,1
