"Aspek","Jumlah_Item","LogLikelihood","AIC","BIC"
"Achievement",28,-101574.71,203261.42,203640.76
"Deference",28,-111336.73,222785.47,223164.81
"Order",28,-102807.46,205726.92,206106.26
"Exhibition",28,-108403.23,216918.45,217297.8
"Autonomy",28,-100272.98,200657.96,201037.31
"Affiliation",28,-107280.09,214672.17,215051.52
"Intraception",28,-108476.31,217064.63,217443.97
"Succorance",28,-104881.57,209875.14,210254.48
"Dominance",28,-105375.14,210862.28,211241.62
"Abasement",28,-103404.14,206920.28,207299.63
"Nurturance",28,-110821.49,221754.99,222134.33
"Change",28,-104407.94,208927.89,209307.23
"Endurance",28,-105465.18,211042.36,211421.71
"Heterosexuality",28,-72229.01,144570.02,144949.37
"Aggression",28,-99620.28,199352.55,199731.9
