"Aspek","ClusteringCoefficient.clustWS","ClusteringCoefficient.signed_clustWS","ClusteringCoefficient.clustZhang","ClusteringCoefficient.signed_clustZhang","ClusteringCoefficient.clustOnnela","ClusteringCoefficient.signed_clustOnnela","ClusteringCoefficient.clustBarrat"
"Achievement",1,0.143,0.183,0.112,0.147,0.047,1
"Deference",1,0.231,0.187,0.104,0.125,0.043,1
"Order",1,0.231,0.174,0.117,0.161,0.064,1
"Exhibition",1,0.275,0.161,0.096,0.101,0.039,1
"Autonomy",1,0.275,0.187,0.12,0.134,0.05,1
"Affiliation",1,0.143,0.172,0.047,0.126,0.022,1
"Intraception",1,-0.165,0.163,0,0.076,-0.013,1
"Succorance",1,0.099,0.162,0.098,0.131,0.035,1
"Dominance",1,0.143,0.147,0.053,0.102,0.019,1
"Abasement",1,0.055,0.141,0.05,0.102,0.013,1
"Nurturance",1,0.231,0.146,0.053,0.139,0.037,1
"Change",1,0.011,0.169,-0.029,0.092,-0.006,1
"Endurance",1,0.231,0.186,0.15,0.144,0.067,1
"Heterosexuality",1,0.187,0.176,0.124,0.149,0.055,1
"Aggression",1,0.319,0.175,0.113,0.165,0.069,1
