"From","To","Weight"
"Heterosexuality","Endurance",-0.406272975784382
"Endurance","Heterosexuality",-0.406272975784382
"Endurance","Order",0.404210686983271
"Order","Endurance",0.404210686983271
"Aggression","Order",-0.374177159254927
"Order","Aggression",-0.374177159254927
"Endurance","Succorance",-0.367372121995797
"Succorance","Endurance",-0.367372121995797
"Aggression","Endurance",-0.348612468249313
"Endurance","Aggression",-0.348612468249313
"Aggression","Heterosexuality",0.348345951952123
"Heterosexuality","Aggression",0.348345951952123
"Abasement","Dominance",-0.308666709149534
"Dominance","Abasement",-0.308666709149534
"Nurturance","Affiliation",0.303364819924934
"Affiliation","Nurturance",0.303364819924934
"Nurturance","Dominance",-0.29836005714653
"Dominance","Nurturance",-0.29836005714653
"Heterosexuality","Order",-0.296537685131159
"Order","Heterosexuality",-0.296537685131159
"Succorance","Achievement",-0.295182597390192
"Achievement","Succorance",-0.295182597390192
"Order","Deference",0.294961102046391
"Deference","Order",0.294961102046391
"Aggression","Autonomy",0.294102043654921
"Autonomy","Aggression",0.294102043654921
"Endurance","Achievement",0.292719550916631
"Achievement","Endurance",0.292719550916631
"Aggression","Achievement",-0.287624765097946
"Achievement","Aggression",-0.287624765097946
"Autonomy","Order",-0.284968032306963
"Order","Autonomy",-0.284968032306963
"Dominance","Succorance",-0.273507693251311
"Succorance","Dominance",-0.273507693251311
"Aggression","Deference",-0.272200929583579
"Deference","Aggression",-0.272200929583579
"Heterosexuality","Achievement",-0.269181391161135
"Achievement","Heterosexuality",-0.269181391161135
"Endurance","Autonomy",-0.262758243624019
"Autonomy","Endurance",-0.262758243624019
"Order","Achievement",0.257023123994694
"Achievement","Order",0.257023123994694
"Nurturance","Autonomy",-0.256455367076761
"Autonomy","Nurturance",-0.256455367076761
"Affiliation","Order",-0.245815140585359
"Order","Affiliation",-0.245815140585359
"Succorance","Order",-0.233800431841392
"Order","Succorance",-0.233800431841392
"Aggression","Nurturance",-0.232006527377343
"Nurturance","Aggression",-0.232006527377343
"Heterosexuality","Nurturance",-0.230819568371528
"Nurturance","Heterosexuality",-0.230819568371528
"Nurturance","Abasement",0.223079020423042
"Abasement","Nurturance",0.223079020423042
"Endurance","Affiliation",-0.221838735803797
"Affiliation","Endurance",-0.221838735803797
"Heterosexuality","Autonomy",0.21688626184725
"Autonomy","Heterosexuality",0.21688626184725
"Heterosexuality","Abasement",-0.209943447190626
"Abasement","Heterosexuality",-0.209943447190626
"Heterosexuality","Intraception",-0.207716872295354
"Intraception","Heterosexuality",-0.207716872295354
"Nurturance","Achievement",-0.192348217686573
"Achievement","Nurturance",-0.192348217686573
"Abasement","Exhibition",-0.192142696606568
"Exhibition","Abasement",-0.192142696606568
"Nurturance","Exhibition",-0.191580428289207
"Exhibition","Nurturance",-0.191580428289207
"Endurance","Exhibition",-0.188795311047501
"Exhibition","Endurance",-0.188795311047501
"Exhibition","Order",-0.184151502432415
"Order","Exhibition",-0.184151502432415
"Aggression","Affiliation",-0.17850286107527
"Affiliation","Aggression",-0.17850286107527
"Autonomy","Deference",-0.170066132017449
"Deference","Autonomy",-0.170066132017449
"Change","Succorance",-0.167639893385304
"Succorance","Change",-0.167639893385304
"Affiliation","Achievement",-0.165579737845713
"Achievement","Affiliation",-0.165579737845713
"Dominance","Affiliation",-0.163532149202359
"Affiliation","Dominance",-0.163532149202359
"Abasement","Achievement",-0.155350268732233
"Achievement","Abasement",-0.155350268732233
"Heterosexuality","Succorance",0.15408744176311
"Succorance","Heterosexuality",0.15408744176311
"Dominance","Achievement",0.15153128563059
