"Aspek","RawScore","TScore"
"Achievement",4,13.1
"Achievement",5,16.1
"Achievement",6,19
"Achievement",7,22
"Achievement",8,24.9
"Achievement",9,27.9
"Achievement",10,30.9
"Achievement",11,33.8
"Achievement",12,36.8
"Achievement",13,39.7
"Achievement",14,42.7
"Achievement",15,45.7
"Achievement",16,48.6
"Achievement",17,51.6
"Achievement",18,54.5
"Achievement",19,57.5
"Achievement",20,60.4
"Achievement",21,63.4
"Achievement",22,66.4
"Achievement",23,69.3
"Achievement",24,72.3
"Achievement",25,75.2
"Achievement",26,78.2
"Achievement",27,81.1
"Achievement",28,84.1
"Deference",2,12.9
"Deference",3,15.9
"Deference",4,18.9
"Deference",5,21.8
"Deference",6,24.8
"Deference",7,27.8
"Deference",8,30.8
"Deference",9,33.7
"Deference",10,36.7
"Deference",11,39.7
"Deference",12,42.7
"Deference",13,45.7
"Deference",14,48.6
"Deference",15,51.6
"Deference",16,54.6
"Deference",17,57.6
"Deference",18,60.5
"Deference",19,63.5
"Deference",20,66.5
"Deference",21,69.5
"Deference",22,72.4
"Deference",23,75.4
"Deference",24,78.4
"Deference",25,81.4
"Deference",26,84.3
"Order",1,14.1
"Order",2,16.3
"Order",3,18.5
"Order",4,20.7
"Order",5,22.9
"Order",6,25.1
"Order",7,27.3
"Order",8,29.4
"Order",9,31.6
"Order",10,33.8
"Order",11,36
"Order",12,38.2
"Order",13,40.4
"Order",14,42.6
"Order",15,44.8
"Order",16,47
"Order",17,49.2
"Order",18,51.3
"Order",19,53.5
"Order",20,55.7
"Order",21,57.9
"Order",22,60.1
"Order",23,62.3
"Order",24,64.5
"Order",25,66.7
"Order",26,68.9
"Order",27,71.1
"Order",28,73.2
"Exhibition",1,13
"Exhibition",2,16.1
"Exhibition",3,19.1
"Exhibition",4,22.2
"Exhibition",5,25.2
"Exhibition",6,28.3
"Exhibition",7,31.3
"Exhibition",8,34.4
"Exhibition",9,37.4
"Exhibition",10,40.5
"Exhibition",11,43.5
"Exhibition",12,46.6
"Exhibition",13,49.6
"Exhibition",14,52.7
"Exhibition",15,55.7
"Exhibition",16,58.8
"Exhibition",17,61.8
"Exhibition",18,64.9
"Exhibition",19,67.9
"Exhibition",20,71
"Exhibition",21,74
"Exhibition",22,77.1
"Exhibition",23,80.1
"Exhibition",24,83.2
"Exhibition",25,86.2
"Exhibition",26,89.3
"Autonomy",0,18.5
"Autonomy",1,21.5
"Autonomy",2,24.4
"Autonomy",3,27.3
"Autonomy",4,30.3
"Autonomy",5,33.2
"Autonomy",6,36.1
"Autonomy",7,39
"Autonomy",8,42
"Autonomy",9,44.9
"Autonomy",10,47.8
"Autonomy",11,50.8
"Autonomy",12,53.7
"Autonomy",13,56.6
"Autonomy",14,59.6
"Autonomy",15,62.5
"Autonomy",16,65.4
"Autonomy",17,68.3
"Autonomy",18,71.3
"Autonomy",19,74.2
"Autonomy",20,77.1
"Autonomy",21,80.1
"Autonomy",22,83
"Autonomy",23,85.9
"Affiliation",1,16.7
"Affiliation",2,19.5
"Affiliation",3,22.2
"Affiliation",4,24.9
"Affiliation",5,27.7
"Affiliation",6,30.4
"Affiliation",7,33.2
"Affiliation",8,35.9
"Affiliation",9,38.6
"Affiliation",10,41.4
"Affiliation",11,44.1
"Affiliation",12,46.9
"Affiliation",13,49.6
"Affiliation",14,52.3
"Affiliation",15,55.1
"Affiliation",16,57.8
"Affiliation",17,60.6
"Affiliation",18,63.3
"Affiliation",19,66
"Affiliation",20,68.8
"Affiliation",21,71.5
"Affiliation",22,74.3
"Affiliation",23,77
"Affiliation",24,79.7
"Affiliation",25,82.5
"Affiliation",26,85.2
"Intraception",3,11.8
"Intraception",4,14.5
"Intraception",6,19.9
"Intraception",7,22.7
"Intraception",8,25.4
"Intraception",9,28.1
"Intraception",10,30.8
"Intraception",11,33.5
"Intraception",12,36.2
"Intraception",13,38.9
"Intraception",14,41.7
"Intraception",15,44.4
"Intraception",16,47.1
"Intraception",17,49.8
"Intraception",18,52.5
"Intraception",19,55.2
"Intraception",20,57.9
"Intraception",21,60.7
"Intraception",22,63.4
"Intraception",23,66.1
"Intraception",24,68.8
"Intraception",25,71.5
"Intraception",26,74.2
"Intraception",27,76.9
"Succorance",0,24.7
"Succorance",1,26.9
"Succorance",2,29.1
"Succorance",3,31.4
"Succorance",4,33.6
"Succorance",5,35.8
"Succorance",6,38.1
"Succorance",7,40.3
"Succorance",8,42.5
"Succorance",9,44.8
"Succorance",10,47
"Succorance",11,49.2
"Succorance",12,51.5
"Succorance",13,53.7
"Succorance",14,55.9
"Succorance",15,58.2
"Succorance",16,60.4
"Succorance",17,62.7
"Succorance",18,64.9
"Succorance",19,67.1
"Succorance",20,69.4
"Succorance",21,71.6
"Succorance",22,73.8
"Succorance",23,76.1
"Succorance",24,78.3
"Succorance",25,80.5
"Succorance",26,82.8
"Succorance",27,85
"Succorance",28,87.2
"Dominance",2,20.1
"Dominance",3,22.4
"Dominance",4,24.8
"Dominance",5,27.1
"Dominance",6,29.5
"Dominance",7,31.8
"Dominance",8,34.2
"Dominance",9,36.5
"Dominance",10,38.9
"Dominance",11,41.3
"Dominance",12,43.6
"Dominance",13,46
"Dominance",14,48.3
"Dominance",15,50.7
"Dominance",16,53
"Dominance",17,55.4
"Dominance",18,57.7
"Dominance",19,60.1
"Dominance",20,62.4
"Dominance",21,64.8
"Dominance",22,67.1
"Dominance",23,69.5
"Dominance",24,71.8
"Dominance",25,74.2
"Dominance",26,76.5
"Dominance",27,78.9
"Dominance",28,81.2
"Abasement",1,7.6
"Abasement",3,12.9
"Abasement",4,15.6
"Abasement",5,18.3
"Abasement",6,20.9
"Abasement",7,23.6
"Abasement",8,26.3
"Abasement",9,28.9
"Abasement",10,31.6
"Abasement",11,34.3
"Abasement",12,36.9
"Abasement",13,39.6
"Abasement",14,42.3
"Abasement",15,44.9
"Abasement",16,47.6
"Abasement",17,50.3
"Abasement",18,52.9
"Abasement",19,55.6
"Abasement",20,58.3
"Abasement",21,60.9
"Abasement",22,63.6
"Abasement",23,66.2
"Abasement",24,68.9
"Abasement",25,71.6
"Abasement",26,74.2
"Abasement",27,76.9
"Abasement",28,79.6
"Nurturance",3,17.7
"Nurturance",4,20.1
"Nurturance",5,22.5
"Nurturance",6,25
"Nurturance",7,27.4
"Nurturance",8,29.8
"Nurturance",9,32.2
"Nurturance",10,34.6
"Nurturance",11,37
"Nurturance",12,39.5
"Nurturance",13,41.9
"Nurturance",14,44.3
"Nurturance",15,46.7
"Nurturance",16,49.1
"Nurturance",17,51.5
"Nurturance",18,54
"Nurturance",19,56.4
"Nurturance",20,58.8
"Nurturance",21,61.2
"Nurturance",22,63.6
"Nurturance",23,66
"Nurturance",24,68.5
"Nurturance",25,70.9
"Nurturance",26,73.3
"Nurturance",27,75.7
"Nurturance",28,78.1
"Change",2,17.2
"Change",3,19.7
"Change",4,22.3
"Change",5,24.8
"Change",6,27.3
"Change",7,29.9
"Change",8,32.4
"Change",9,34.9
"Change",10,37.5
"Change",11,40
"Change",12,42.5
"Change",13,45.1
"Change",14,47.6
"Change",15,50.1
"Change",16,52.7
"Change",17,55.2
"Change",18,57.7
"Change",19,60.2
"Change",20,62.8
"Change",21,65.3
"Change",22,67.8
"Change",23,70.4
"Change",24,72.9
"Change",25,75.4
"Change",26,78
"Change",27,80.5
"Change",28,83
"Endurance",0,6.9
"Endurance",3,13.9
"Endurance",4,16.3
"Endurance",5,18.6
"Endurance",6,21
"Endurance",7,23.3
"Endurance",8,25.7
"Endurance",9,28
"Endurance",10,30.4
"Endurance",11,32.7
"Endurance",12,35.1
"Endurance",13,37.4
"Endurance",14,39.8
"Endurance",15,42.1
"Endurance",16,44.5
"Endurance",17,46.8
"Endurance",18,49.2
"Endurance",19,51.5
"Endurance",20,53.9
"Endurance",21,56.2
"Endurance",22,58.6
"Endurance",23,60.9
"Endurance",24,63.3
"Endurance",25,65.6
"Endurance",26,68
"Endurance",27,70.3
"Endurance",28,72.7
"Heterosexuality",0,38.5
"Heterosexuality",1,40.7
"Heterosexuality",2,42.9
"Heterosexuality",3,45.1
"Heterosexuality",4,47.3
"Heterosexuality",5,49.6
"Heterosexuality",6,51.8
"Heterosexuality",7,54
"Heterosexuality",8,56.2
"Heterosexuality",9,58.4
"Heterosexuality",10,60.6
"Heterosexuality",11,62.8
"Heterosexuality",12,65
"Heterosexuality",13,67.2
"Heterosexuality",14,69.4
"Heterosexuality",15,71.6
"Heterosexuality",16,73.8
"Heterosexuality",17,76
"Heterosexuality",18,78.2
"Heterosexuality",19,80.5
"Heterosexuality",20,82.7
"Heterosexuality",21,84.9
"Heterosexuality",23,89.3
"Heterosexuality",24,91.5
"Heterosexuality",25,93.7
"Heterosexuality",26,95.9
"Aggression",0,27.4
"Aggression",1,29.7
"Aggression",2,32
"Aggression",3,34.4
"Aggression",4,36.7
"Aggression",5,39
"Aggression",6,41.3
"Aggression",7,43.6
"Aggression",8,45.9
"Aggression",9,48.2
"Aggression",10,50.5
"Aggression",11,52.8
"Aggression",12,55.1
"Aggression",13,57.4
"Aggression",14,59.7
"Aggression",15,62.1
"Aggression",16,64.4
"Aggression",17,66.7
"Aggression",18,69
"Aggression",19,71.3
"Aggression",20,73.6
"Aggression",21,75.9
"Aggression",22,78.2
"Aggression",23,80.5
"Aggression",24,82.8
"Aggression",25,85.1
"Aggression",26,87.5
