"Test","p_value.0.871287128712871","p_value.0.742574257425743","p_value.structure.c.1L..1L..2L..1L..2L..3L..1L..2L..3L..4L..1L..2L..3L.."
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Achievement"
"Edge Invariance",0.871287128712871,0.742574257425743,"Deference"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
"Edge Invariance",0.871287128712871,0.742574257425743,"Order"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
"Edge Invariance",0.871287128712871,0.742574257425743,"Order"
"Global Strength",0.871287128712871,0.742574257425743,"Exhibition"
"Network Structure",0.871287128712871,0.742574257425743,"Achievement"
"Edge Invariance",0.871287128712871,0.742574257425743,"Deference"
"Global Strength",0.871287128712871,0.742574257425743,"Order"
"Network Structure",0.871287128712871,0.742574257425743,"Exhibition"
"Edge Invariance",0.871287128712871,0.742574257425743,"Autonomy"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
"Edge Invariance",0.871287128712871,0.742574257425743,"Order"
"Global Strength",0.871287128712871,0.742574257425743,"Exhibition"
"Network Structure",0.871287128712871,0.742574257425743,"Autonomy"
"Edge Invariance",0.871287128712871,0.742574257425743,"Affiliation"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
"Edge Invariance",0.871287128712871,0.742574257425743,"Order"
"Global Strength",0.871287128712871,0.742574257425743,"Exhibition"
"Network Structure",0.871287128712871,0.742574257425743,"Autonomy"
"Edge Invariance",0.871287128712871,0.742574257425743,"Affiliation"
"Global Strength",0.871287128712871,0.742574257425743,"Intraception"
"Network Structure",0.871287128712871,0.742574257425743,"Achievement"
"Edge Invariance",0.871287128712871,0.742574257425743,"Deference"
"Global Strength",0.871287128712871,0.742574257425743,"Order"
"Network Structure",0.871287128712871,0.742574257425743,"Exhibition"
"Edge Invariance",0.871287128712871,0.742574257425743,"Autonomy"
"Global Strength",0.871287128712871,0.742574257425743,"Affiliation"
"Network Structure",0.871287128712871,0.742574257425743,"Intraception"
"Edge Invariance",0.871287128712871,0.742574257425743,"Succorance"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
"Edge Invariance",0.871287128712871,0.742574257425743,"Order"
"Global Strength",0.871287128712871,0.742574257425743,"Exhibition"
"Network Structure",0.871287128712871,0.742574257425743,"Autonomy"
"Edge Invariance",0.871287128712871,0.742574257425743,"Affiliation"
"Global Strength",0.871287128712871,0.742574257425743,"Intraception"
"Network Structure",0.871287128712871,0.742574257425743,"Succorance"
"Edge Invariance",0.871287128712871,0.742574257425743,"Dominance"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
"Edge Invariance",0.871287128712871,0.742574257425743,"Order"
"Global Strength",0.871287128712871,0.742574257425743,"Exhibition"
"Network Structure",0.871287128712871,0.742574257425743,"Autonomy"
"Edge Invariance",0.871287128712871,0.742574257425743,"Affiliation"
"Global Strength",0.871287128712871,0.742574257425743,"Intraception"
"Network Structure",0.871287128712871,0.742574257425743,"Succorance"
"Edge Invariance",0.871287128712871,0.742574257425743,"Dominance"
"Global Strength",0.871287128712871,0.742574257425743,"Abasement"
"Network Structure",0.871287128712871,0.742574257425743,"Achievement"
"Edge Invariance",0.871287128712871,0.742574257425743,"Deference"
"Global Strength",0.871287128712871,0.742574257425743,"Order"
"Network Structure",0.871287128712871,0.742574257425743,"Exhibition"
"Edge Invariance",0.871287128712871,0.742574257425743,"Autonomy"
"Global Strength",0.871287128712871,0.742574257425743,"Affiliation"
"Network Structure",0.871287128712871,0.742574257425743,"Intraception"
"Edge Invariance",0.871287128712871,0.742574257425743,"Succorance"
"Global Strength",0.871287128712871,0.742574257425743,"Dominance"
"Network Structure",0.871287128712871,0.742574257425743,"Abasement"
"Edge Invariance",0.871287128712871,0.742574257425743,"Nurturance"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
"Edge Invariance",0.871287128712871,0.742574257425743,"Order"
"Global Strength",0.871287128712871,0.742574257425743,"Exhibition"
"Network Structure",0.871287128712871,0.742574257425743,"Autonomy"
"Edge Invariance",0.871287128712871,0.742574257425743,"Affiliation"
"Global Strength",0.871287128712871,0.742574257425743,"Intraception"
"Network Structure",0.871287128712871,0.742574257425743,"Succorance"
"Edge Invariance",0.871287128712871,0.742574257425743,"Dominance"
"Global Strength",0.871287128712871,0.742574257425743,"Abasement"
"Network Structure",0.871287128712871,0.742574257425743,"Nurturance"
"Edge Invariance",0.871287128712871,0.742574257425743,"Change"
"Global Strength",0.871287128712871,0.742574257425743,"Achievement"
"Network Structure",0.871287128712871,0.742574257425743,"Deference"
