"From","To","Mean_Weight","SD","CV"
"Endurance","Heterosexuality",-0.407,0.025,0.061
"Deference","Order",0.298,0.027,0.092
"Order","Endurance",0.404,0.027,0.068
"Succorance","Endurance",-0.368,0.027,0.074
"Succorance","Heterosexuality",0.156,0.027,0.176
"Order","Heterosexuality",-0.297,0.028,0.095
"Order","Aggression",-0.374,0.028,0.074
"Affiliation","Heterosexuality",-0.033,0.028,0.866
"Intraception","Heterosexuality",-0.208,0.028,0.136
"Abasement","Heterosexuality",-0.21,0.028,0.135
"Nurturance","Heterosexuality",-0.232,0.028,0.12
"Heterosexuality","Aggression",0.349,0.028,0.08
"Achievement","Order",0.255,0.029,0.115
"Achievement","Succorance",-0.295,0.029,0.098
"Achievement","Endurance",0.292,0.029,0.1
"Autonomy","Heterosexuality",0.217,0.029,0.135
"Autonomy","Aggression",0.294,0.029,0.1
"Succorance","Dominance",-0.276,0.029,0.104
"Dominance","Abasement",-0.306,0.029,0.096
"Dominance","Nurturance",-0.299,0.029,0.097
