"From","To","Mean_Weight","SD","CV"
"Intraception","Aggression",-0.127,0.033,0.263
"Succorance","Nurturance",0.131,0.033,0.252
"Abasement","Endurance",0.074,0.033,0.453
"Nurturance","Endurance",-0.037,0.033,0.88
"Nurturance","Aggression",-0.234,0.033,0.143
"Order","Nurturance",-0.12,0.034,0.287
"Exhibition","Affiliation",-0.087,0.034,0.387
"Exhibition","Nurturance",-0.196,0.034,0.173
"Affiliation","Succorance",0.094,0.034,0.36
"Affiliation","Abasement",-0.069,0.034,0.498
"Intraception","Dominance",0.041,0.034,0.833
"Dominance","Change",-0.039,0.034,0.858
"Deference","Heterosexuality",-0.139,0.035,0.251
"Autonomy","Intraception",-0.113,0.035,0.311
"Intraception","Change",-0.04,0.035,0.879
"Succorance","Abasement",0.032,0.035,1.074
"Dominance","Endurance",-0.018,0.035,1.989
"Dominance","Aggression",0.055,0.035,0.626
"Succorance","Change",-0.172,0.036,0.21
"Deference","Succorance",-0.142,0.037,0.261
