"Code","Aspect","Items","Mean_Score","SD_Score"
"ACH","Achievement",28,16.47,3.38
"DEF","Deference",28,14.46,3.36
"ORD","Order",28,17.39,4.57
"EXH","Exhibition",28,13.12,3.28
"AUT","Autonomy",28,10.74,3.41
"AFF","Affiliation",28,13.14,3.65
"INT","Intraception",28,17.07,3.68
"SUC","Succorance",28,11.34,4.47
"DOM","Dominance",28,14.72,4.25
"ABA","Abasement",28,16.9,3.75
"NUR","Nurturance",28,16.36,4.14
"CHG","Change",28,14.95,3.95
"END","Endurance",28,18.35,4.25
"HET","Heterosexuality",28,5.2,4.53
"AGG","Aggression",28,9.78,4.33
