"Item","Aspek","Mean","SD"
"2B - ACH","Achievement",0.464,0.499
"3B - ACH","Achievement",0.267,0.443
"4B - ACH","Achievement",0.183,0.386
"5B - ACH","Achievement",0.859,0.348
"6A - ACH","Achievement",0.534,0.499
"11A - ACH","Achievement",0.382,0.486
"16A - ACH","Achievement",0.766,0.423
"21A - ACH","Achievement",0.916,0.277
"26A - ACH","Achievement",0.893,0.309
"31A - ACH","Achievement",0.563,0.496
"36A - ACH","Achievement",0.594,0.491
"41A - ACH","Achievement",0.365,0.481
"46A - ACH","Achievement",0.308,0.462
"51A - ACH","Achievement",0.664,0.472
"56A - ACH","Achievement",0.794,0.404
"61A - ACH","Achievement",0.306,0.461
"66A - ACH","Achievement",0.947,0.224
"71A - ACH","Achievement",0.489,0.5
"76B - ACH","Achievement",0.725,0.447
"77B - ACH","Achievement",0.426,0.495
"78B - ACH","Achievement",0.766,0.423
"79B - ACH","Achievement",0.613,0.487
"80B - ACH","Achievement",0.702,0.457
"151B - ACH","Achievement",0.537,0.499
"152B - ACH","Achievement",0.733,0.442
"153B - ACH","Achievement",0.347,0.476
"154B - ACH","Achievement",0.847,0.36
"155B - ACH","Achievement",0.477,0.5
"2A - DEF","Deference",0.536,0.499
"6B - DEF","Deference",0.466,0.499
"8B - DEF","Deference",0.213,0.41
"9B - DEF","Deference",0.561,0.496
"10B - DEF","Deference",0.519,0.5
"12A - DEF","Deference",0.294,0.456
"17A - DEF","Deference",0.693,0.461
"22A - DEF","Deference",0.713,0.452
"27A - DEF","Deference",0.481,0.5
"32A - DEF","Deference",0.281,0.45
"37A - DEF","Deference",0.734,0.442
"42A - DEF","Deference",0.538,0.499
"47A - DEF","Deference",0.313,0.464
"52A - DEF","Deference",0.42,0.494
"57A - DEF","Deference",0.557,0.497
"62A - DEF","Deference",0.235,0.424
"67A - DEF","Deference",0.774,0.419
"72A - DEF","Deference",0.738,0.44
"81B - DEF","Deference",0.674,0.469
"82B - DEF","Deference",0.342,0.474
"83B - DEF","Deference",0.53,0.499
"84B - DEF","Deference",0.572,0.495
"85B - DEF","Deference",0.396,0.489
"156B - DEF","Deference",0.473,0.499
"157B - DEF","Deference",0.302,0.459
"158B - DEF","Deference",0.439,0.496
"159B - DEF","Deference",0.908,0.288
"160B - DEF","Deference",0.758,0.428
"3A - ORD","Order",0.733,0.443
"8A - ORD","Order",0.787,0.41
"11B - ORD","Order",0.618,0.486
"12B - ORD","Order",0.706,0.456
"14B - ORD","Order",0.341,0.474
"15B - ORD","Order",0.32,0.466
"18A - ORD","Order",0.738,0.44
"23A - ORD","Order",0.462,0.499
"28A - ORD","Order",0.761,0.426
"33A - ORD","Order",0.357,0.479
"38A - ORD","Order",0.925,0.264
"43A - ORD","Order",0.424,0.494
"48A - ORD","Order",0.797,0.402
"53A - ORD","Order",0.575,0.494
"58A - ORD","Order",0.69,0.462
"63A - ORD","Order",0.66,0.474
"68A - ORD","Order",0.809,0.393
"73A - ORD","Order",0.88,0.325
"86B - ORD","Order",0.587,0.492
"87B - ORD","Order",0.577,0.494
"88B - ORD","Order",0.665,0.472
"89B - ORD","Order",0.603,0.489
"90B - ORD","Order",0.596,0.491
"161B - ORD","Order",0.593,0.491
"162B - ORD","Order",0.657,0.475
"163B - ORD","Order",0.251,0.433
"164B - ORD","Order",0.807,0.394
"165B - ORD","Order",0.467,0.499
"4A - EXH","Exhibition",0.817,0.386
"9A - EXH","Exhibition",0.439,0.496
"14A - EXH","Exhibition",0.659,0.474
"16B - EXH","Exhibition",0.234,0.423
"17B - EXH","Exhibition",0.307,0.461
"18B - EXH","Exhibition",0.262,0.44
"20B - EXH","Exhibition",0.7,0.458
"24A - EXH","Exhibition",0.731,0.444
"29A - EXH","Exhibition",0.644,0.479
"34A - EXH","Exhibition",0.305,0.461
"39A - EXH","Exhibition",0.668,0.471
"44A - EXH","Exhibition",0.302,0.459
"49A - EXH","Exhibition",0.49,0.5
"54A - EXH","Exhibition",0.437,0.496
"59A - EXH","Exhibition",0.466,0.499
"64A - EXH","Exhibition",0.318,0.466
"69A - EXH","Exhibition",0.82,0.384
"74A - EXH","Exhibition",0.34,0.474
"91B - EXH","Exhibition",0.381,0.486
"92B - EXH","Exhibition",0.289,0.453
"93B - EXH","Exhibition",0.705,0.456
"94B - EXH","Exhibition",0.245,0.43
"95B - EXH","Exhibition",0.312,0.463
"166B - EXH","Exhibition",0.278,0.448
"167B - EXH","Exhibition",0.277,0.448
"168B - EXH","Exhibition",0.23,0.421
"169B - EXH","Exhibition",0.758,0.428
"170B - EXH","Exhibition",0.709,0.454
"5A - AUT","Autonomy",0.141,0.348
"10A - AUT","Autonomy",0.481,0.5
"15A - AUT","Autonomy",0.68,0.466
"20A - AUT","Autonomy",0.3,0.458
"21B - AUT","Autonomy",0.084,0.277
"22B - AUT","Autonomy",0.287,0.452
"23B - AUT","Autonomy",0.538,0.499
"24B - AUT","Autonomy",0.269,0.444
"30A - AUT","Autonomy",0.097,0.297
"35A - AUT","Autonomy",0.222,0.416
"40A - AUT","Autonomy",0.433,0.495
"45A - AUT","Autonomy",0.17,0.376
"50A - AUT","Autonomy",0.226,0.418
"55A - AUT","Autonomy",0.51,0.5
"60A - AUT","Autonomy",0.526,0.499
"65A - AUT","Autonomy",0.556,0.497
"70A - AUT","Autonomy",0.897,0.304
"75A - AUT","Autonomy",0.406,0.491
"96B - AUT","Autonomy",0.377,0.485
"97B - AUT","Autonomy",0.158,0.365
"98B - AUT","Autonomy",0.579,0.494
"99B - AUT","Autonomy",0.443,0.497
"100B - AUT","Autonomy",0.14,0.347
"171B - AUT","Autonomy",0.502,0.5
"172B - AUT","Autonomy",0.404,0.491
"173B - AUT","Autonomy",0.187,0.39
"174B - AUT","Autonomy",0.827,0.378
"175B - AUT","Autonomy",0.301,0.459
"26B - AFF","Affiliation",0.107,0.309
"27B - AFF","Affiliation",0.519,0.5
"28B - AFF","Affiliation",0.239,0.426
"29B - AFF","Affiliation",0.356,0.479
"30B - AFF","Affiliation",0.903,0.297
"76A - AFF","Affiliation",0.275,0.447
"81A - AFF","Affiliation",0.326,0.469
"86A - AFF","Affiliation",0.413,0.492
"91A - AFF","Affiliation",0.619,0.486
"96A - AFF","Affiliation",0.623,0.485
"102B - AFF","Affiliation",0.265,0.441
"103B - AFF","Affiliation",0.57,0.495
"104B - AFF","Affiliation",0.396,0.489
"105B - AFF","Affiliation",0.289,0.453
"106A - AFF","Affiliation",0.591,0.492
"111A - AFF","Affiliation",0.466,0.499
"116A - AFF","Affiliation",0.739,0.439
"121A - AFF","Affiliation",0.615,0.487
"126A - AFF","Affiliation",0.458,0.498
"131A - AFF","Affiliation",0.532,0.499
"136A - AFF","Affiliation",0.218,0.413
"141A - AFF","Affiliation",0.782,0.413
"146A - AFF","Affiliation",0.582,0.493
"176B - AFF","Affiliation",0.276,0.447
"177B - AFF","Affiliation",0.235,0.424
"178B - AFF","Affiliation",0.326,0.469
"179B - AFF","Affiliation",0.768,0.422
"180B - AFF","Affiliation",0.655,0.475
"31B - INT","Intraception",0.437,0.496
"32B - INT","Intraception",0.719,0.45
"33B - INT","Intraception",0.643,0.479
"34B - INT","Intraception",0.695,0.461
"35B - INT","Intraception",0.778,0.416
"77A - INT","Intraception",0.574,0.495
"82A - INT","Intraception",0.658,0.474
"87A - INT","Intraception",0.423,0.494
"92A - INT","Intraception",0.711,0.453
"97A - INT","Intraception",0.842,0.365
"102A - INT","Intraception",0.735,0.441
"106B - INT","Intraception",0.409,0.492
"108B - INT","Intraception",0.532,0.499
"109B - INT","Intraception",0.32,0.467
"110B - INT","Intraception",0.354,0.478
"112A - INT","Intraception",0.629,0.483
"117A - INT","Intraception",0.694,0.461
"122A - INT","Intraception",0.516,0.5
"127A - INT","Intraception",0.468,0.499
"132A - INT","Intraception",0.459,0.498
"137A - INT","Intraception",0.427,0.495
"142A - INT","Intraception",0.85,0.357
"147A - INT","Intraception",0.754,0.431
"181B - INT","Intraception",0.444,0.497
"182B - INT","Intraception",0.732,0.443
"183B - INT","Intraception",0.536,0.499
"184B - INT","Intraception",0.926,0.261
"185B - INT","Intraception",0.808,0.394
"36B - SUC","Succorance",0.406,0.491
"37B - SUC","Succorance",0.266,0.442
"38B - SUC","Succorance",0.075,0.264
"39B - SUC","Succorance",0.332,0.471
"40B - SUC","Succorance",0.567,0.495
"78A - SUC","Succorance",0.234,0.423
"83A - SUC","Succorance",0.47,0.499
"88A - SUC","Succorance",0.335,0.472
"93A - SUC","Succorance",0.295,0.456
"98A - SUC","Succorance",0.421,0.494
"103A - SUC","Succorance",0.43,0.495
"108A - SUC","Succorance",0.468,0.499
"111B - SUC","Succorance",0.534,0.499
"112B - SUC","Succorance",0.371,0.483
"114B - SUC","Succorance",0.367,0.482
"115B - SUC","Succorance",0.265,0.442
"118A - SUC","Succorance",0.398,0.49
"123A - SUC","Succorance",0.16,0.367
"128A - SUC","Succorance",0.237,0.425
"133A - SUC","Succorance",0.357,0.479
