"Aspek","Jumlah_Item","LogLikelihood","AIC","BIC"
"Achievement",28,-101336.51,202841.02,203410.03
"Deference",28,-111213.7,222595.41,223164.42
"Order",28,-102745.42,205658.85,206227.86
"Exhibition",28,-108405.41,216978.82,217547.84
"Autonomy",28,-100272.29,200712.58,201281.6
"Affiliation",28,-107276.29,214720.58,215289.59
"Intraception",28,-108361.52,216891.04,217460.05
"Succorance",28,-104880.38,209928.77,210497.78
"Dominance",28,-105341.38,210850.75,211419.77
"Abasement",28,-103264.4,206696.81,207265.82
"Nurturance",28,-110805.99,221779.99,222349
"Change",28,-104405.46,208978.92,209547.94
"Endurance",28,-105299.68,210767.37,211336.39
"Heterosexuality",28,-72228,144624,145193.02
"Aggression",28,-99619.33,199406.66,199975.68
