"Aspek","ClusteringCoefficient.clustWS","ClusteringCoefficient.signed_clustWS","ClusteringCoefficient.clustZhang","ClusteringCoefficient.signed_clustZhang","ClusteringCoefficient.clustOnnela","ClusteringCoefficient.signed_clustOnnela","ClusteringCoefficient.clustBarrat"
"Achievement",1,0.143,0.185,0.113,0.149,0.047,1
"Deference",1,0.231,0.189,0.105,0.126,0.044,1
"Order",1,0.231,0.176,0.118,0.163,0.064,1
"Exhibition",1,0.275,0.162,0.097,0.102,0.039,1
"Autonomy",1,0.275,0.188,0.121,0.135,0.051,1
"Affiliation",1,0.143,0.174,0.048,0.127,0.023,1
"Intraception",1,-0.165,0.164,0,0.077,-0.013,1
"Succorance",1,0.099,0.164,0.099,0.132,0.035,1
"Dominance",1,0.143,0.148,0.054,0.103,0.019,1
"Abasement",1,0.055,0.143,0.051,0.103,0.013,1
"Nurturance",1,0.231,0.147,0.053,0.141,0.037,1
"Change",1,0.011,0.171,-0.03,0.093,-0.006,1
"Endurance",1,0.231,0.188,0.152,0.145,0.068,1
"Heterosexuality",1,0.187,0.177,0.125,0.15,0.055,1
"Aggression",1,0.319,0.177,0.114,0.167,0.07,1
