"Pendidikan","Aspek","Mean","SD","N"
"S1","Achievement",16.9930907415937,3.35975753192533,2171
"S1","Deference",14.9341317365269,3.3326744936062,2171
"S1","Order",18.4048825426071,4.29977537967863,2171
"S1","Exhibition",12.9806540764625,3.20305063913633,2171
"S1","Autonomy",10.2252418240442,3.44936090708129,2171
"S1","Affiliation",13.0013818516813,3.64754799619372,2171
"S1","Intraception",17.0944265315523,3.72806287408115,2171
"S1","Succorance",10.8613542146476,4.30856331003665,2171
"S1","Dominance",15.0778443113772,4.30763143998584,2171
"S1","Abasement",16.6688162137264,3.70905473553357,2171
"S1","Nurturance",16.136803316444,4.12189664941841,2171
"S1","Change",15.0442192538001,3.85161136616364,2171
"S1","Endurance",19.1064025794565,4.0550600468399,2171
"S1","Heterosexuality",4.62874251497006,4.33072648874376,2171
"S1","Aggression",8.84200829111009,4.09455122054018,2171
"SMA","Achievement",15.8936835522201,3.33524492365994,1599
"SMA","Deference",14.0888055034396,3.41418941672637,1599
"SMA","Order",16.1794871794872,4.67621783643006,1599
"SMA","Exhibition",13.3145716072545,3.21046966116734,1599
"SMA","Autonomy",11.3358348968105,3.38189398435399,1599
"SMA","Affiliation",13.4409005628518,3.63856456994451,1599
"SMA","Intraception",17.0606629143215,3.70156376125923,1599
"SMA","Succorance",12.2614133833646,4.57866366473772,1599
"SMA","Dominance",14.3702313946216,4.19792121915035,1599
"SMA","Abasement",16.7992495309568,3.76654124872823,1599
"SMA","Nurturance",16.2276422764228,4.16126261070578,1599
"SMA","Change",14.984990619137,4.07360622715358,1599
"SMA","Endurance",17.3183239524703,4.41956149945101,1599
"SMA","Heterosexuality",6.03627267041901,4.77608090401528,1599
"SMA","Aggression",10.6879299562226,4.40611114525921,1599
"D1","Achievement",16.3023255813953,3.61066970304878,86
"D1","Deference",14.5232558139535,3.80935919942711,86
"D1","Order",18.0581395348837,4.30418305745302,86
"D1","Exhibition",13.2441860465116,3.48757811301643,86
"D1","Autonomy",10.6162790697674,3.31899561225155,86
"D1","Affiliation",12.7209302325581,3.65787197148576,86
"D1","Intraception",17.1976744186047,3.75364847594776,86
"D1","Succorance",10.0813953488372,3.77052068889562,86
"D1","Dominance",14.9186046511628,3.93839357002937,86
"D1","Abasement",17.1627906976744,3.87407815256065,86
"D1","Nurturance",16.4651162790698,4.5236572253214,86
"D1","Change",14.6744186046512,3.54281994848941,86
"D1","Endurance",18.7906976744186,4.39549576691136,86
"D1","Heterosexuality",5.58139534883721,4.32085262903752,86
"D1","Aggression",9.66279069767442,5.00025991116528,86
"SMK","Achievement",16.1756912442396,3.35690729857754,1736
"SMK","Deference",14.1814516129032,3.27437371022294,1736
"SMK","Order",17.0622119815668,4.50905468191398,1736
"SMK","Exhibition",13.1503456221198,3.33834242399465,1736
"SMK","Autonomy",10.9441244239631,3.31337174438641,1736
