"From","To","Mean_Weight","SD","CV"
"Deference","Affiliation",-0.121,0.033,0.27
"Deference","Change",-0.142,0.033,0.231
"Exhibition","Affiliation",-0.087,0.033,0.376
"Exhibition","Dominance",0.069,0.033,0.476
"Autonomy","Dominance",0.028,0.033,1.172
"Affiliation","Succorance",0.097,0.033,0.339
"Affiliation","Abasement",-0.065,0.033,0.506
"Intraception","Dominance",0.041,0.033,0.794
"Intraception","Abasement",0.004,0.033,7.51
"Intraception","Nurturance",-0.043,0.033,0.773
"Intraception","Change",-0.041,0.033,0.806
"Succorance","Nurturance",0.132,0.033,0.248
"Succorance","Change",-0.167,0.033,0.196
"Dominance","Endurance",-0.014,0.033,2.339
"Dominance","Aggression",0.058,0.033,0.578
"Abasement","Endurance",0.074,0.033,0.442
"Abasement","Aggression",-0.088,0.033,0.378
"Exhibition","Nurturance",-0.19,0.034,0.177
"Succorance","Abasement",0.032,0.034,1.065
"Dominance","Change",-0.035,0.034,0.954
